index	name	annotation	Control_10h	Control_24h	Control_2h	Control_6h	Virus_10h	Virus_24h	Virus_2h	Virus_6h	Contrib.Control_10h	Contrib.Control_24h	Contrib.Control_2h	Contrib.Control_6h	Contrib.Virus_10h	Contrib.Virus_24h	Contrib.Virus_2h	Contrib.Virus_6h	Contrib	GroupContrib	color	importance
P04818			-0.170957548326752	1.9889935957125	0.134730697349301	-1.10846263615672	-0.0470218413536124	-0.30770311401562395	-0.26098700058069396	-0.536619220843571	False	True	False	False	False	False	False	False	False	Control_24h	#F68B33	-0.08214135049106701
Q04837			-0.400106830568284	-0.84601915592091	0.0291374368648844	-0.30637702392696997	-0.33663088167031496	2.26080355891271	-0.289424237271969	-0.0185862613216171	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.0821444803750709
P05783_P05784			-0.231145801790687	-0.559413481872463	-0.416402666502898	-0.20729232147936702	-0.149403582137854	2.4894299713579398	-0.669275725658417	-0.6880954563536629	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.0874661211975861
Q9Y4D8			-0.30209420427595	-0.404082530323103	-0.099572150385225	-0.228455318539841	-0.354580942609987	2.53686120136057	-0.5171471803302371	-0.5547097563339239	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.0878993971748014
P10809			-0.966744438731357	-0.633580469110637	0.0987766996130405	-0.211773561232977	-0.231417138187133	2.1802125671532	-0.27627550418721697	-0.32475030341266303	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.0894956248075005
P04264_P04259_P02538_Q9H552_P04264_H.INV.HIT000292931_P05787_P13647			-0.46319715117424304	-0.654943312102746	-0.36839582794207104	-0.164677923019917	0.0339010134798149	2.4039438042610097	-0.562388241252333	-0.649434712684353	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.100295098266887
P52701			-0.45008782770097294	1.8105712132930702	0.503288166534848	-1.6053932602091003	-0.549638802537358	0.693363409032223	0.0079735216072864	-0.6274503632947471	False	True	False	False	False	False	False	False	False	Control_24h	#F68B33	-0.101346581818225
Q9BXS6			-0.797061415074235	2.1444923739653	0.28627300885825	-0.9642093237811931	-0.547290442566012	-0.740372560171882	0.530582210876413	-0.293910354578768	False	True	False	False	False	False	False	False	False	Control_24h	#F68B33	-0.104327448600286
Q9UBS4			-0.13830415080369599	-0.527225849446439	0.0468186006263837	-0.134553416049111	-0.544420093144375	2.2817516201086097	-0.48440954532928104	-0.601115943695848	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.10883563141862401
Q9C0E2			-0.247335269933349	-0.0938116102478577	-0.38586484810915	-0.915051848294024	-0.20996820510173	2.40113478441977	-0.242428180529573	-0.26511435868322	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.109782556046259
Q92743			-0.35685594997576	-0.391145923499301	-0.367149163390034	-0.7993822642716679	-0.62057465746252	2.42878109199004	0.00509720356858954	-0.131469208122188	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.110267110427795
Q96GA3			1.39686869478886	0.12712087737416	-0.823975368357181	-0.266686744354328	1.4659887944732601	0.016965012088068998	-0.875541307269648	-0.56914943278814	False	False	False	False	True	False	False	False	False	Virus_10h	#CC79A7	-0.11669470104186501
P61313			-0.350091537241985	-0.35309217772007206	0.0127925125326756	-0.69854961544873	-0.19781844632555	2.84700035710262	-0.44231959679408	-0.5463931772168521	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.12299257666844
P31153	S-adenosylmethionine synthase isoform type-2;MAT2A;ortholog	nucleotidyltransferase(PC00174)	1.15587315153148	-0.34608043875965805	-1.33708941602777	-0.00716043399531065	1.09858554790041	0.955196510024963	-1.5359513120380102	0.294951357458468	True	False	False	False	False	False	False	False	False	Control_10h	#388ECC	-0.12760316878506
O94788			-0.332733741576643	-0.6096174685104461	0.19001070187276398	-0.0709091409112455	-0.642242955559119	2.4127318834651	-0.470826803036725	-0.529455797382215	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.13254394872331401
P23284			-0.926144761673158	-0.344263241740302	0.11729107578591401	-0.20711748002912198	-0.243780422609927	2.6358764298672797	-0.5643571463068571	-0.6393481449110401	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.136764838349011
Q3ZCQ8			-0.639527115887938	-0.13475959015942698	0.281819770928218	-0.5076819596264129	-0.216828470243096	2.2471662070639904	-0.460654787658574	-0.623461549972367	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.14896463967405899
Q9GZR7			0.972726763801945	0.7226226272888779	-0.910963219065392	-0.899205394808825	1.02062308393047	0.71861698368936	-1.4293057778419	-0.037694655780036	False	False	False	False	True	False	False	False	False	Virus_10h	#CC79A7	-0.153510331633457
O15162			-0.12510151954861198	-0.636136161498807	-0.20353652761479502	-0.6219458091426989	-0.0397281905979232	2.2171396331601	-0.202618862592113	-0.5746347865498679	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.15609504501955898
P0DTC3	Protein 3a (Accessory protein 3a) (Protein U274) (Protein X1)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	-0.42733453289459206	-0.436659205857573	-0.4420426115247171	-0.42882904258834104	-0.179707050339061	2.77047897346866	-0.441389009904349	-0.39771901149596706	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.157319933816853
O95274	Ly6/PLAUR domain-containing protein 3;LYPD3;ortholog	transmembrane signal receptor(PC00197)	-0.452867335687751	-0.126715019036783	-0.670423686856454	0.023223424048543	-0.24780720195747197	2.5606591655920097	-0.409734948160935	-0.42983068750722403	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.16726806574113
Q9BW19			-0.23695889698071	1.93935695072348	0.539539119281963	-1.2236757567436203	-0.639080392762976	0.166610985391901	0.318250490378073	-0.611952691469985	False	True	False	False	False	False	False	False	False	Control_24h	#F68B33	-0.169667700517755
P0DTC9	Nucleoprotein (Nucleocapsid protein) (NC) (Protein N)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	-0.354583644150081	-0.354717819152339	-0.35197678393706605	-0.35561986692238395	-0.04545351610063201	2.11106723170797	-0.35554479014119295	-0.293170811304281	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.169751810539412
Q2TAA5	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1		-0.529790034172315	-0.611791135969916	-0.451990287418002	-0.47248276239099896	-0.033440062352086006	2.2936248345393597	0.0576738246478492	-0.536016604630874	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.171802246296077
P38646			-0.7118320408414158	-0.17502570297092002	0.200627526936735	-0.509463922063707	-0.20939264541381603	2.3708132610766	-0.583837817483876	-0.5046951532024679	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.172814100894171
Q7Z3J2	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		-0.0321714702538306	-0.800890129563418	-0.0959656009766577	-0.35704694358162997	-0.298496122476182	2.2892724872609	-0.491486572518396	-0.7002518905116599	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.172981318303006
P0DTD2	Protein 9b (Accessory protein 9b) (ORF-9b)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	-0.34470081573378497	-0.33852796216687603	-0.340559481658731	-0.33590728742206	-0.120204612506775	2.1058542429765903	-0.334193164984823	-0.314647674872138	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.17517290150479098
Q9ULW0			-0.370183520806863	2.17219432867487	0.5174307651072271	-0.917403004395425	-1.02711792003622	-0.109274854423836	0.320013526789729	-0.3707625219785321	False	True	False	False	False	False	False	False	False	Control_24h	#F68B33	-0.17688209565430701
Q08357			1.12052723495826	1.00414521295091	-0.962349474052134	-0.46064514641072996	1.5339651309882398	0.417028082308456	-0.880206499094535	-0.862647847976885	False	False	False	False	True	False	False	False	False	Virus_10h	#CC79A7	-0.18547509304182197
Q9UPY5			0.9328602087957241	1.17709623774433	-0.7110338062950671	-0.9756274462476809	0.8496816487088991	0.0415577477518825	-1.30556151616488	-0.21063164213273602	False	True	False	False	False	False	False	False	False	Control_24h	#F68B33	-0.192282457872094
Q9NRZ9			-0.608018960673614	2.1785732584168898	0.244146468711496	-0.66415553178165	-0.52726962979864	-0.0861636948989358	-0.32397272414963	-0.522277859027386	False	True	False	False	False	False	False	False	False	Control_24h	#F68B33	-0.197135050576672
Q9NPE3	H/ACA ribonucleoprotein complex subunit 3;NOP10;ortholog	RNA binding protein(PC00031)	-0.22636872066957298	-0.765533719668497	0.115723716802467	-0.0569612141491315	-0.444832111126149	2.4209496418957204	-0.477021351266606	-0.481380644590229	False	False	False	False	False	True	False	False	False	Virus_24h	#F0E442	-0.198301261182801
P12004			-0.861047579737532	1.91772635752983	0.5140197700157829	-0.866239963934634	-0.34147961473833	0.23130698220131501	-0.343154933453236	-0.30189256943665504	False	True	False	False	False	False	False	False	False	Control_24h	#F68B33	-0.220744565333119
